seller_id,monthly_revenue,revenue_growth,order_volume,avg_order_value,return_rate,rating,days_active,inventory_turnover,late_ship_rate,previous_loans,platform,category,defaulted
VN00585,114535994.0,0.8497,657,84021.0,0.1103,3.4,1576,13.94,0.0289,2,Shopee,Electronics,0
VN00586,120380178.0,-0.2891,71,251946.0,0.1939,3.6,52,9.34,0.1387,3,Shopee,Beauty,1
VN00587,70807772.0,-0.2275,978,207411.0,0.0727,3.7,366,12.04,0.142,0,Shopee,Home,1
VN00588,52831424.0,-0.2949,991,177458.0,0.0566,3.5,456,9.23,0.1131,4,Shopee,Fashion,0
VN00589,186278209.0,-0.1184,60,300603.0,0.2585,3.9,874,12.33,0.0645,0,TikTok Shop,Fashion,0
VN00590,52584772.0,0.3266,431,111192.0,0.0581,4.6,238,6.35,0.0418,1,Shopee,Electronics,0
VN00591,105442325.0,0.457,862,234758.0,0.0609,4.5,244,8.71,0.1219,5,Shopee,Electronics,0
VN00592,69842755.0,-0.293,153,220318.0,0.0625,4.3,664,11.91,0.0607,0,Shopee,Beauty,0
VN00593,143125850.0,0.8325,261,129897.0,0.0315,4.1,452,12.89,0.0522,2,Lazada,Home,0
VN00594,128346806.0,0.7027,1186,532319.0,0.0887,4.2,102,0.83,0.068,4,Shopee,Food,0
VN00595,217596929.0,0.0208,244,183337.0,0.0603,4.4,1775,1.9,0.0449,3,Shopee,Fashion,0
VN00596,68168129.0,-0.2535,806,187339.0,0.409,4.0,852,13.07,0.2755,0,Shopee,Fashion,1
VN00597,81620727.0,-0.1376,651,120110.0,0.1993,4.7,815,8.17,0.0501,4,TikTok Shop,Beauty,0
VN00598,47962366.0,-0.1913,388,185040.0,0.3664,3.5,1659,13.87,0.118,2,Shopee,Food,0
VN00599,71612490.0,-0.1959,1118,645240.0,0.0359,3.8,967,11.2,0.0884,5,Shopee,Food,0
VN00600,132616939.0,0.2982,752,176954.0,0.1005,3.7,1719,11.54,0.1353,3,TikTok Shop,Food,0
VN00601,176307725.0,-0.0427,1103,260238.0,0.1115,4.4,1327,5.71,0.2284,0,TikTok Shop,Beauty,0
VN00602,50042140.0,0.0977,102,322957.0,0.0532,3.6,1778,3.98,0.0497,2,Shopee,Fashion,0
VN00603,191846176.0,0.8869,1126,183377.0,0.2976,3.7,1693,8.58,0.1609,1,Shopee,Electronics,0
VN00604,276225576.0,0.5054,727,163604.0,0.0302,4.4,1286,12.37,0.0714,4,Lazada,Fashion,0
VN00605,136260108.0,0.8362,615,254265.0,0.1316,3.8,1094,10.3,0.2037,4,Shopee,Electronics,0
VN00606,408334341.0,-0.1718,553,177970.0,0.093,4.6,318,6.87,0.2726,0,Shopee,Electronics,0
VN00607,55932608.0,0.1277,228,170089.0,0.0521,4.6,584,10.67,0.1076,2,Shopee,Beauty,0
VN00608,39291115.0,0.3434,88,321240.0,0.0185,3.9,1323,9.82,0.2782,3,TikTok Shop,Food,0
VN00609,26323163.0,-0.2541,75,193937.0,0.2341,4.3,468,12.83,0.0467,3,Shopee,Beauty,0
VN00610,306900219.0,-0.3448,712,368288.0,0.1839,5.0,1367,4.06,0.0281,3,Shopee,Electronics,0
VN00611,163246885.0,0.488,26,191767.0,0.096,4.6,1563,2.11,0.0325,3,Shopee,Fashion,0
VN00612,95851579.0,0.4523,828,103923.0,0.2281,4.4,1447,6.85,0.1065,0,Shopee,Electronics,0
VN00613,123280952.0,0.1635,46,36210.0,0.1591,5.0,57,5.37,0.049,0,Lazada,Beauty,0
VN00614,42964434.0,0.2621,1198,80092.0,0.1241,3.7,299,13.66,0.1684,4,Shopee,Fashion,0
VN00615,625657706.0,0.1693,1015,87292.0,0.1362,4.8,1520,0.6,0.0238,2,Shopee,Food,0
VN00616,110101793.0,-0.32,251,229411.0,0.1947,4.4,103,13.1,0.1204,1,Shopee,Beauty,0
VN00617,108476715.0,0.0692,572,123542.0,0.0801,4.9,1710,13.39,0.0474,0,TikTok Shop,Home,0
VN00618,172227178.0,-0.1286,1118,74827.0,0.2361,3.9,703,1.19,0.0215,3,Shopee,Electronics,1
VN00619,143343861.0,-0.227,661,188066.0,0.1087,4.9,275,12.51,0.0518,1,TikTok Shop,Food,0
VN00620,118202879.0,0.8459,1001,116901.0,0.1924,3.3,439,6.86,0.0632,4,Shopee,Food,0
VN00621,55237032.0,0.3992,834,253102.0,0.0409,4.0,527,10.84,0.0979,3,TikTok Shop,Fashion,0
VN00622,142321803.0,0.5608,487,249980.0,0.06,4.3,1471,1.57,0.123,5,Shopee,Beauty,0
VN00623,409938773.0,0.0442,126,263562.0,0.2585,4.5,1041,13.4,0.0826,2,Shopee,Electronics,0
VN00624,274116850.0,0.1414,397,55874.0,0.1052,3.2,240,8.7,0.2067,1,Shopee,Home,0
VN00625,330094644.0,-0.0538,31,205398.0,0.117,3.6,821,12.63,0.1701,4,Shopee,Electronics,0
VN00626,68106842.0,-0.2288,507,188962.0,0.1974,3.7,1276,9.59,0.2399,0,TikTok Shop,Beauty,0
VN00627,47573973.0,-0.1262,940,109008.0,0.0318,3.7,389,7.75,0.023,2,Shopee,Food,0
VN00628,90935390.0,0.6469,131,68960.0,0.079,3.8,611,2.83,0.0293,3,Lazada,Home,0
VN00629,104196978.0,0.4969,894,190167.0,0.1675,4.3,1073,2.9,0.3186,1,Shopee,Fashion,0
VN00630,227041559.0,0.3337,129,341826.0,0.0144,4.9,452,6.88,0.2241,4,Shopee,Beauty,0
VN00631,28082342.0,0.2439,828,55222.0,0.0778,4.0,150,12.25,0.0738,1,Shopee,Electronics,0
VN00632,314710189.0,0.803,658,132421.0,0.0534,5.0,202,2.06,0.0375,2,Shopee,Beauty,0
VN00633,88764209.0,-0.2591,350,214436.0,0.0413,4.2,63,13.98,0.057,0,Shopee,Fashion,0
VN00634,72553821.0,0.0008,936,352378.0,0.1703,4.1,947,12.32,0.0869,0,Shopee,Electronics,0
VN00635,46777914.0,0.0874,161,171753.0,0.0536,4.7,100,5.8,0.0366,5,Lazada,Home,0
VN00636,28885708.0,0.628,136,527288.0,0.1142,4.1,574,3.92,0.0678,2,TikTok Shop,Electronics,0
VN00637,185279849.0,0.8906,95,81826.0,0.1049,3.8,803,12.95,0.0256,3,Shopee,Electronics,0
VN00638,105580946.0,-0.0492,699,73242.0,0.2896,4.9,813,2.16,0.0386,1,TikTok Shop,Fashion,0
VN00639,37978445.0,0.7429,676,333987.0,0.0306,4.2,997,5.19,0.0738,3,Shopee,Electronics,0
VN00640,37832948.0,0.6883,389,62018.0,0.1845,5.0,1674,1.63,0.0273,4,Lazada,Beauty,0
VN00641,77684124.0,-0.0692,77,252904.0,0.1725,4.0,564,13.37,0.0945,3,Shopee,Food,0
VN00642,349413343.0,0.1492,518,173292.0,0.1042,3.5,1711,8.84,0.1631,5,Shopee,Fashion,0
VN00643,82252676.0,0.1621,682,127963.0,0.1704,3.8,43,5.04,0.2057,2,TikTok Shop,Fashion,1
VN00644,32366768.0,0.8728,463,162213.0,0.1286,3.9,1359,4.22,0.1402,5,Shopee,Fashion,0
VN00645,83111422.0,-0.1239,882,105394.0,0.1386,4.2,1601,6.5,0.0729,0,TikTok Shop,Beauty,0
VN00646,81446533.0,0.6489,694,171242.0,0.0278,3.8,300,1.73,0.3115,5,Lazada,Beauty,0
VN00647,13221238.0,0.0677,475,202543.0,0.129,3.6,1106,12.51,0.1415,2,Lazada,Beauty,0
VN00648,95944346.0,0.5636,473,163063.0,0.1003,4.0,1547,7.4,0.097,2,Lazada,Beauty,0
VN00649,84039636.0,0.175,478,149871.0,0.2028,4.2,1613,10.29,0.0924,1,Shopee,Electronics,0
VN00650,168450884.0,0.3729,926,227993.0,0.0838,4.4,492,3.66,0.1229,2,TikTok Shop,Fashion,0
VN00651,399896800.0,0.6908,393,460370.0,0.1436,4.2,552,7.3,0.0989,4,Shopee,Fashion,0
VN00652,232621627.0,0.6552,1040,175764.0,0.1307,4.9,799,3.35,0.1078,1,TikTok Shop,Home,0
VN00653,81681123.0,0.733,378,302548.0,0.1321,4.2,884,11.52,0.1273,1,Shopee,Food,0
VN00654,43579855.0,-0.2755,86,123861.0,0.3368,3.1,821,10.97,0.1605,3,Shopee,Electronics,0
VN00655,688495853.0,0.5151,652,103049.0,0.1807,4.3,1775,2.5,0.055,5,Lazada,Food,0
VN00656,104470347.0,-0.175,351,251867.0,0.0776,4.2,1377,1.51,0.0636,2,TikTok Shop,Electronics,0
VN00657,100981407.0,0.1698,209,178659.0,0.0261,4.6,1577,11.63,0.0111,3,Lazada,Electronics,0
VN00658,98140058.0,0.3357,1026,353185.0,0.1512,3.6,472,1.98,0.1912,3,Shopee,Electronics,0
VN00659,115937704.0,0.1534,667,389536.0,0.1261,4.7,280,7.9,0.0665,5,Shopee,Fashion,0
VN00660,89677431.0,0.2995,21,305450.0,0.1465,4.3,189,7.72,0.1185,1,Lazada,Food,0
VN00661,64990619.0,0.8957,919,302150.0,0.1717,4.3,65,3.24,0.0442,3,Shopee,Food,0
VN00662,66310300.0,-0.181,993,36218.0,0.1201,4.7,1714,8.48,0.0856,3,Lazada,Beauty,0
VN00663,97507031.0,0.4943,580,250762.0,0.0751,4.8,909,7.29,0.099,1,TikTok Shop,Food,0
VN00664,66481311.0,0.145,630,309106.0,0.2031,4.7,1251,7.37,0.0882,1,Lazada,Beauty,0
VN00665,58548479.0,-0.1837,587,106309.0,0.1585,3.0,1503,5.36,0.1055,0,TikTok Shop,Home,0
VN00666,108235793.0,-0.1516,613,201670.0,0.0549,3.5,1431,11.82,0.2799,2,TikTok Shop,Beauty,0
VN00667,82537813.0,0.8366,784,119209.0,0.0637,4.0,1299,1.64,0.0805,0,Shopee,Electronics,0
VN00668,308735272.0,0.7495,256,335627.0,0.2169,3.6,422,6.42,0.0867,5,Lazada,Fashion,0
VN00669,13684476.0,0.7838,1118,124493.0,0.0312,3.9,1257,4.01,0.0537,1,Shopee,Electronics,0
VN00670,226584871.0,0.8894,780,135073.0,0.1298,4.2,73,11.95,0.1014,4,Shopee,Home,0
VN00671,254437019.0,-0.0896,398,159209.0,0.1059,4.0,344,3.54,0.0727,3,Shopee,Fashion,0
VN00672,21103666.0,0.0943,405,618285.0,0.2207,4.2,437,10.85,0.0709,3,TikTok Shop,Home,0
VN00673,77282980.0,0.4865,910,331816.0,0.1312,4.9,924,8.76,0.2232,1,TikTok Shop,Electronics,0
VN00674,75634217.0,0.2548,702,449685.0,0.2144,5.0,235,12.31,0.1561,3,Shopee,Fashion,1
VN00675,34773502.0,0.173,1164,81100.0,0.0636,4.4,1294,8.52,0.0204,0,TikTok Shop,Home,0
VN00676,55763912.0,0.0973,61,106442.0,0.0581,4.9,70,8.01,0.1101,3,TikTok Shop,Beauty,0
VN00677,43447684.0,0.3922,633,392107.0,0.2679,4.0,617,11.32,0.1483,4,TikTok Shop,Food,0
VN00678,371925020.0,0.3695,478,83276.0,0.0425,3.9,743,8.09,0.0343,2,Shopee,Electronics,0
VN00679,201592481.0,-0.1482,137,143510.0,0.0927,4.2,1416,11.9,0.0944,5,TikTok Shop,Beauty,0
VN00680,259344103.0,0.2397,148,561109.0,0.2803,4.0,927,1.17,0.0705,5,Lazada,Home,0
VN00681,171699094.0,0.3418,855,124029.0,0.2217,4.5,124,7.18,0.0944,5,Lazada,Home,1
VN00682,42849784.0,0.3629,863,80781.0,0.1451,4.2,569,11.47,0.0253,0,Shopee,Fashion,0
VN00683,67430622.0,-0.0874,621,205610.0,0.0705,5.0,1197,11.95,0.0758,2,Shopee,Beauty,0
VN00684,144246027.0,0.5778,37,82465.0,0.2826,4.3,88,11.76,0.2068,2,Shopee,Home,0
VN00685,39960585.0,-0.3185,580,372736.0,0.2669,3.8,1694,8.66,0.0953,4,Shopee,Fashion,0
VN00686,170585778.0,0.0935,780,128357.0,0.0223,4.0,883,13.92,0.1793,5,Shopee,Food,0
VN00687,83449812.0,0.6253,979,116120.0,0.0574,3.9,538,2.95,0.2161,4,Shopee,Food,0
VN00688,75442731.0,0.3549,249,203759.0,0.078,4.6,542,2.86,0.1014,4,TikTok Shop,Fashion,0
VN00689,170325177.0,-0.0235,1010,164026.0,0.1721,4.1,828,0.94,0.0824,4,Shopee,Beauty,0
VN00690,139447324.0,0.5187,1097,227789.0,0.3095,4.3,1075,13.86,0.1057,5,Shopee,Fashion,0
VN00691,76230742.0,0.3592,840,260603.0,0.1028,4.4,767,5.2,0.0135,0,Shopee,Fashion,0
VN00692,238408787.0,0.6453,230,180116.0,0.0843,4.5,1257,10.79,0.0351,4,Shopee,Beauty,0
VN00693,44420095.0,0.5688,671,112339.0,0.0763,4.7,728,1.31,0.0825,0,TikTok Shop,Food,0
VN00694,158608856.0,0.4126,949,289310.0,0.2816,4.4,916,4.53,0.1746,3,Shopee,Home,0
VN00695,155915686.0,0.2602,1128,141959.0,0.0337,3.7,500,8.92,0.128,2,TikTok Shop,Food,0
VN00696,79227987.0,-0.1835,325,130022.0,0.1325,4.0,313,7.58,0.0669,5,Shopee,Beauty,0
VN00697,127624098.0,-0.0233,571,215632.0,0.0309,4.0,401,3.3,0.2681,3,TikTok Shop,Electronics,0
VN00698,39101243.0,0.1739,986,76548.0,0.0609,3.8,1551,6.73,0.1936,3,Shopee,Beauty,0
VN00699,199838533.0,0.3991,271,244126.0,0.0605,4.7,1385,1.97,0.0526,1,Shopee,Food,0
VN00700,86991711.0,0.2921,547,221434.0,0.1037,4.1,1080,7.83,0.156,5,TikTok Shop,Food,0
VN00701,67521575.0,0.0102,66,351832.0,0.147,4.3,884,1.81,0.0941,3,Shopee,Beauty,0
VN00702,219476763.0,-0.3419,1105,156342.0,0.0789,4.4,158,9.09,0.2006,3,Shopee,Beauty,0
VN00703,58923010.0,0.2703,314,389421.0,0.0851,4.3,1433,2.6,0.0784,1,TikTok Shop,Beauty,0
VN00704,34748745.0,0.007,686,261665.0,0.0312,4.4,536,7.89,0.2122,5,Shopee,Food,0
VN00705,31094084.0,0.5683,792,198115.0,0.0922,5.0,1148,2.24,0.0407,3,TikTok Shop,Fashion,0
VN00706,157432517.0,-0.3201,846,497996.0,0.1005,4.5,607,5.91,0.0233,1,Shopee,Electronics,0
VN00707,38250913.0,0.381,246,210577.0,0.1101,3.7,1230,5.25,0.0896,0,Shopee,Fashion,0
VN00708,372629668.0,0.8268,989,154944.0,0.0614,4.4,502,10.71,0.1506,2,Shopee,Food,0
VN00709,20968942.0,-0.132,1106,213613.0,0.1408,4.3,1539,9.16,0.0181,4,Shopee,Fashion,0
VN00710,356677395.0,0.2396,42,153356.0,0.1556,3.5,1037,13.15,0.0208,3,Shopee,Beauty,0
VN00711,117067717.0,-0.2357,1089,242032.0,0.059,3.0,1328,12.95,0.0861,0,Shopee,Home,0
VN00712,92940045.0,0.4321,605,388615.0,0.2687,4.3,697,10.29,0.0267,2,TikTok Shop,Beauty,0
VN00713,66406844.0,0.3382,799,199985.0,0.0758,4.1,1476,10.9,0.1447,0,TikTok Shop,Electronics,0
VN00714,134806650.0,0.1592,634,210043.0,0.0446,3.6,1584,8.94,0.0584,1,TikTok Shop,Beauty,0
VN00715,97150703.0,0.3017,600,299214.0,0.1847,3.9,349,9.84,0.1599,0,Shopee,Home,0
VN00716,228598195.0,0.7707,1016,363531.0,0.2231,4.1,87,8.83,0.0087,3,Shopee,Food,0
VN00717,108870617.0,-0.1046,198,160121.0,0.4509,3.9,302,4.71,0.267,3,Shopee,Fashion,1
VN00718,111856384.0,-0.3218,1061,218856.0,0.087,4.3,1251,5.23,0.0623,5,Shopee,Beauty,0
VN00719,76079609.0,0.7271,143,299878.0,0.1025,4.3,1132,8.26,0.163,4,TikTok Shop,Fashion,0
VN00720,95753791.0,0.3714,305,236801.0,0.0436,4.6,1011,10.22,0.018,4,TikTok Shop,Electronics,0
VN00721,125881472.0,0.7633,515,79139.0,0.0627,4.8,70,5.98,0.1327,3,Shopee,Fashion,0
VN00722,27711934.0,0.3962,200,328195.0,0.1319,4.5,767,2.43,0.071,0,Shopee,Electronics,0
VN00723,36355677.0,0.6627,493,260782.0,0.2917,3.9,1298,6.7,0.0773,5,Lazada,Electronics,1
VN00724,174502229.0,0.1871,506,270215.0,0.1384,4.3,1076,13.5,0.3702,5,Shopee,Beauty,0
VN00725,113594890.0,0.5873,527,110628.0,0.1157,3.4,738,3.39,0.0346,3,Lazada,Home,0
VN00726,87051678.0,0.7913,1105,216684.0,0.2757,4.0,265,9.26,0.0566,0,TikTok Shop,Fashion,0
VN00727,101323148.0,0.3652,481,306102.0,0.226,2.9,155,13.76,0.0386,3,Shopee,Electronics,0
VN00728,129693727.0,-0.124,299,129277.0,0.2461,4.0,807,5.58,0.1791,2,Shopee,Electronics,0
VN00729,66664307.0,-0.014,615,147227.0,0.134,3.9,865,12.49,0.0409,0,Lazada,Electronics,0
VN00730,55743505.0,-0.1017,1138,308735.0,0.0243,4.5,169,12.16,0.1692,1,TikTok Shop,Food,0
VN00731,115743135.0,-0.0414,203,143839.0,0.1237,3.7,908,5.08,0.0463,1,Shopee,Fashion,0
VN00732,47976430.0,0.033,1003,180908.0,0.0742,4.3,423,1.83,0.0384,4,Shopee,Fashion,0
VN00733,135731546.0,0.3439,904,119694.0,0.1948,4.0,857,2.91,0.0402,2,TikTok Shop,Electronics,0
VN00734,27870025.0,0.385,402,498804.0,0.0259,4.0,156,5.44,0.0013,1,Shopee,Fashion,0
VN00735,216232922.0,0.1831,255,260488.0,0.0097,3.8,1167,13.45,0.0672,3,Shopee,Fashion,0
VN00736,142442378.0,0.4193,431,176717.0,0.0133,4.4,866,4.21,0.1491,1,Shopee,Food,0
VN00737,121087296.0,-0.248,190,160944.0,0.2101,4.1,554,13.01,0.0598,3,Shopee,Electronics,0
VN00738,208827318.0,-0.2403,401,108642.0,0.1147,3.7,1281,2.95,0.1302,2,Shopee,Fashion,0
VN00739,348485031.0,-0.1352,867,190032.0,0.0835,4.3,1574,13.59,0.042,5,Shopee,Home,0
VN00740,213848323.0,0.2976,677,279996.0,0.1009,4.4,175,4.46,0.0658,5,Shopee,Electronics,0
VN00741,25124256.0,-0.0825,466,133933.0,0.1522,5.0,1216,9.05,0.0933,5,Shopee,Fashion,0
VN00742,38275374.0,0.0041,291,211667.0,0.0279,3.9,764,1.44,0.059,4,Lazada,Food,0
VN00743,62544325.0,0.1504,227,167094.0,0.0999,4.0,757,4.55,0.0531,5,TikTok Shop,Home,0
VN00744,101906704.0,0.6648,55,400335.0,0.3669,3.6,198,3.34,0.0565,1,Shopee,Beauty,1
VN00745,147338654.0,-0.3327,1160,146042.0,0.1293,4.0,1591,0.55,0.0973,4,TikTok Shop,Beauty,1
VN00746,57984839.0,0.4617,308,296137.0,0.0401,3.7,1178,2.62,0.1472,5,Shopee,Home,0
VN00747,114957732.0,0.4861,614,403129.0,0.1701,4.8,329,8.51,0.0201,5,Lazada,Beauty,0
VN00748,56710095.0,0.6483,555,166281.0,0.0855,4.5,1303,5.76,0.0769,2,Shopee,Home,0
VN00749,63171364.0,0.8159,465,149599.0,0.1097,3.7,967,10.25,0.1154,0,Shopee,Fashion,0
VN00750,34795693.0,-0.3248,1099,318492.0,0.2239,3.7,551,9.56,0.0437,5,Lazada,Beauty,1
VN00751,50002075.0,-0.1578,1185,82404.0,0.0449,3.9,134,11.29,0.0284,2,TikTok Shop,Beauty,0
VN00752,36260391.0,0.7577,804,249022.0,0.1858,4.8,647,12.2,0.0297,2,Shopee,Home,0
VN00753,48066454.0,0.2231,348,91340.0,0.0295,3.9,998,11.57,0.2266,2,Lazada,Fashion,0
VN00754,220240645.0,0.3557,905,369981.0,0.0836,4.1,1566,6.55,0.111,0,Lazada,Fashion,0
VN00755,49030388.0,0.4788,1180,177008.0,0.1141,5.0,1747,4.67,0.1286,0,Lazada,Electronics,0
VN00756,719657922.0,0.4988,58,191877.0,0.1046,4.4,535,7.28,0.0204,2,Shopee,Electronics,0
VN00757,144673267.0,0.8147,158,139787.0,0.0834,3.5,331,7.72,0.0624,0,Lazada,Fashion,0
VN00758,114791396.0,0.8962,347,91003.0,0.2459,3.3,682,4.73,0.0136,3,Shopee,Home,0
VN00759,52495167.0,0.5502,1012,378106.0,0.1819,4.2,1283,7.79,0.1185,2,TikTok Shop,Food,0
VN00760,168970113.0,0.009,69,184328.0,0.09,5.0,93,1.93,0.0769,5,Shopee,Food,0
VN00761,64894383.0,0.7497,884,998874.0,0.1386,4.9,619,3.62,0.0544,1,Shopee,Electronics,0
VN00762,109507912.0,-0.2885,811,133908.0,0.0607,4.4,261,10.57,0.0985,3,Shopee,Beauty,0
VN00763,681674892.0,-0.0611,339,145314.0,0.2107,4.6,1652,2.97,0.1446,2,Shopee,Food,1
VN00764,92985588.0,0.7717,94,128204.0,0.2411,4.6,1236,2.38,0.1738,1,Shopee,Beauty,0
VN00765,236617387.0,-0.0298,1069,183858.0,0.1071,3.4,348,4.38,0.0319,5,Shopee,Beauty,1
VN00766,58974617.0,-0.0742,999,441357.0,0.1285,4.3,1711,5.51,0.0817,1,Lazada,Fashion,0
VN00767,97343706.0,-0.1773,1150,332724.0,0.2484,4.9,858,4.94,0.0277,4,TikTok Shop,Food,0
VN00768,377129986.0,0.7239,572,94629.0,0.1592,5.0,121,5.56,0.1883,4,Shopee,Food,0
VN00769,62443625.0,0.2751,879,366612.0,0.1273,4.5,1688,2.39,0.21,1,TikTok Shop,Beauty,0
VN00770,389095907.0,0.4936,731,282489.0,0.083,3.5,990,2.73,0.203,2,TikTok Shop,Beauty,0
VN00771,169915863.0,-0.0512,486,255428.0,0.0972,4.5,93,3.68,0.0851,2,Shopee,Fashion,0
VN00772,65538605.0,0.5976,88,142612.0,0.0169,4.5,873,5.93,0.046,2,TikTok Shop,Home,0
VN00773,160580479.0,0.6,603,148011.0,0.1878,4.6,248,5.03,0.1362,2,TikTok Shop,Food,0
VN00774,207245748.0,0.0407,578,215030.0,0.1632,4.4,733,11.18,0.0595,1,Shopee,Food,0
VN00775,159309191.0,0.1634,481,152271.0,0.1422,5.0,648,7.59,0.1162,5,Shopee,Fashion,0
VN00776,30778639.0,-0.0879,613,387053.0,0.1015,4.3,276,8.27,0.1346,0,Shopee,Fashion,0
VN00777,57924275.0,0.8707,1006,149048.0,0.0993,4.2,993,8.07,0.068,0,TikTok Shop,Home,0
VN00778,83000818.0,0.457,751,75858.0,0.1783,4.1,1526,5.88,0.0181,5,Shopee,Beauty,0
VN00779,94506099.0,0.8182,1008,104744.0,0.0902,4.2,1043,13.74,0.1412,5,TikTok Shop,Food,0
VN00780,159173295.0,0.0292,262,108122.0,0.2761,4.3,86,1.0,0.1296,2,Shopee,Beauty,1
VN00781,114178749.0,0.6274,1158,176015.0,0.2334,4.3,1098,3.41,0.1082,4,TikTok Shop,Food,0
VN00782,36707503.0,0.6073,81,223694.0,0.151,4.6,1139,4.34,0.1045,1,Lazada,Fashion,0
VN00783,132905431.0,0.5146,587,206262.0,0.3078,3.2,1091,12.4,0.1528,0,Lazada,Fashion,0
VN00784,157973730.0,0.857,717,252825.0,0.4567,4.1,211,12.9,0.1442,5,TikTok Shop,Fashion,0
VN00785,152068683.0,0.1419,484,176992.0,0.0546,4.5,193,11.92,0.1507,1,Shopee,Home,0
VN00786,224769400.0,-0.1866,507,180150.0,0.1963,4.3,786,6.13,0.0467,4,TikTok Shop,Food,0
VN00787,186779926.0,0.4896,677,482111.0,0.0627,3.6,155,12.85,0.1131,5,TikTok Shop,Fashion,0
VN00788,141016161.0,0.5616,300,366839.0,0.0424,4.5,1260,1.83,0.0721,1,TikTok Shop,Home,0
VN00789,94809077.0,0.3688,326,246262.0,0.0476,4.2,296,9.31,0.1455,4,Lazada,Beauty,0
VN00790,28753766.0,-0.0915,323,317532.0,0.0286,4.6,383,13.15,0.0196,5,Shopee,Home,0
VN00791,137924041.0,0.2806,789,76641.0,0.2914,4.5,1464,10.69,0.2357,4,TikTok Shop,Home,0
VN00792,116775724.0,0.0402,1135,133083.0,0.129,4.4,1652,4.25,0.0761,3,Shopee,Electronics,0
VN00793,122507661.0,0.1843,979,161765.0,0.1298,4.2,1710,10.19,0.1275,5,Shopee,Beauty,0
VN00794,38356654.0,0.4565,1151,133869.0,0.1006,4.3,1175,4.48,0.1769,4,Shopee,Electronics,0
VN00795,44420321.0,0.5815,470,92701.0,0.1165,4.3,1561,2.01,0.0871,3,Shopee,Food,0
VN00796,220159896.0,-0.0597,146,247774.0,0.1278,4.9,639,10.18,0.1811,5,TikTok Shop,Home,0
VN00797,97010874.0,0.1567,944,401464.0,0.2474,5.0,498,2.92,0.0442,5,TikTok Shop,Home,0
VN00798,166603205.0,-0.0135,979,199505.0,0.4593,3.7,830,2.0,0.1793,4,TikTok Shop,Home,1
VN00799,102077081.0,-0.1017,943,277643.0,0.1352,2.9,162,7.95,0.2419,4,Lazada,Home,1
VN00800,102187212.0,0.6292,135,196562.0,0.0994,3.9,1432,8.88,0.033,1,TikTok Shop,Electronics,0
VN00801,201986789.0,0.7866,648,161003.0,0.09,3.7,1041,1.19,0.169,3,Lazada,Food,0
VN00802,67860620.0,0.1128,911,317934.0,0.0283,4.6,878,0.56,0.1173,5,TikTok Shop,Electronics,0
VN00803,107402131.0,0.5891,786,98312.0,0.066,4.9,1049,12.41,0.0465,0,Shopee,Home,0
VN00804,70653170.0,0.7712,1077,79087.0,0.0643,4.6,347,2.06,0.0986,0,Shopee,Food,0
VN00805,72140620.0,0.7077,580,97621.0,0.1034,4.0,1630,8.38,0.0936,1,TikTok Shop,Beauty,0
VN00806,79250233.0,-0.1215,526,307673.0,0.1581,4.6,740,13.37,0.0264,0,TikTok Shop,Electronics,0
VN00807,118047817.0,0.8454,1199,209736.0,0.0596,4.8,1178,7.41,0.0781,0,TikTok Shop,Fashion,0
VN00808,69785620.0,0.1208,303,242382.0,0.1021,4.5,480,2.39,0.0173,4,TikTok Shop,Beauty,0
VN00809,256289211.0,0.0741,214,464381.0,0.2649,4.5,1773,5.81,0.0403,2,Lazada,Beauty,0
VN00810,51087199.0,-0.272,542,112233.0,0.1249,4.1,1261,8.92,0.1417,2,Shopee,Home,0
VN00811,86863308.0,0.2577,931,366621.0,0.2791,3.6,1353,10.8,0.1951,0,TikTok Shop,Home,0
VN00812,71857942.0,-0.2137,1125,164693.0,0.034,4.7,1542,8.69,0.2166,1,TikTok Shop,Beauty,0
VN00813,295811627.0,-0.0393,1120,152637.0,0.134,5.0,662,0.96,0.0958,1,Shopee,Electronics,0
VN00814,115804743.0,0.0462,1100,209109.0,0.1409,3.5,171,2.43,0.0387,3,Lazada,Food,0
VN00815,216669434.0,0.661,813,226131.0,0.1167,4.6,1033,5.52,0.0489,1,TikTok Shop,Electronics,0
VN00816,32796413.0,0.7444,1080,180724.0,0.3295,3.8,1527,10.03,0.0302,1,Shopee,Electronics,0
VN00817,122092279.0,0.0281,26,272435.0,0.1602,4.4,888,8.39,0.1283,4,Shopee,Beauty,0
VN00818,194749193.0,0.7234,847,209530.0,0.0226,3.5,598,1.1,0.3128,4,TikTok Shop,Electronics,0
VN00819,106293319.0,0.7215,855,181740.0,0.2492,4.6,333,11.26,0.0656,5,Shopee,Food,0
VN00820,222204854.0,0.6058,657,163057.0,0.0755,4.4,686,8.67,0.0171,0,Shopee,Beauty,0
VN00821,67797350.0,-0.1666,1153,226200.0,0.1528,4.6,1609,12.48,0.1454,5,Shopee,Electronics,0
VN00822,287579695.0,0.5129,120,101892.0,0.0883,4.5,673,6.14,0.1054,1,Lazada,Home,0
VN00823,560406848.0,0.8313,705,117333.0,0.1494,4.3,622,7.12,0.0272,2,TikTok Shop,Electronics,0
VN00824,76123766.0,0.5032,542,167088.0,0.0574,4.6,59,5.97,0.2449,1,Shopee,Beauty,0
VN00825,71547571.0,0.0645,860,263666.0,0.3118,4.0,1430,10.25,0.0512,1,Lazada,Beauty,0
